param_name,level,actual_value,sharpe,annual_return,max_drawdown,relative_sharpe,mc_survival_rate
rebalance_threshold,0.05,0.07350000000000001,1.0949040430268873,0.1402770221109071,0.07420880670160729,0.2784637316167238,0.2
rebalance_threshold,0.1,0.07700000000000001,1.0891215691734049,0.13965074093276741,0.07716732401592745,0.27268125776324137,0.2
rebalance_threshold,0.15,0.0805,1.091588617366637,0.1409937641469463,0.07614485262917704,0.27514830595647344,0.2
stop_loss,-0.15,0.068,1.041286957347102,0.13454191258236725,0.10227865969094416,0.22484664593693848,0.24
stop_loss,-0.1,0.07200000000000001,1.078541613375826,0.1378185867137065,0.07334901371775174,0.2621013019656626,0.28
stop_loss,-0.05,0.076,1.102009124101889,0.14112232760062926,0.07420880670160729,0.2855688126917255,0.28
stop_loss,0.0,0.08,1.102009124101889,0.14112232760062926,0.07420880670160729,0.2855688126917255,0.28
stop_loss,0.05,0.084,1.102009124101889,0.14112232760062926,0.07420880670160729,0.2855688126917255,0.1
stop_loss,0.1,0.08800000000000001,1.102009124101889,0.14112232760062926,0.07420880670160729,0.2855688126917255,0.18
stop_loss,0.15,0.092,1.102009124101889,0.14112232760062926,0.07420880670160729,0.2855688126917255,0.16
top_n,1.0,1.0,0.8655610094134335,0.11245713804096424,0.1488720538533186,0.049120698003270014,0.32
top_n,2.0,2.0,1.102009124101889,0.14112232760062926,0.07420880670160729,0.2855688126917255,0.6
top_n,3.0,3.0,0.699391081072851,0.09932144567599033,0.19273443332522291,-0.11704923033731252,0.0
