ts_code,trade_date,bid_open,bid_close,bid_high,bid_low,ask_open,ask_close,ask_high,ask_low,tick_qty
USDCNH.FXCM,20150129,6.2571,6.26051,6.26407,6.25341,6.2609,6.26316,6.26647,6.25589,17875
USDCNH.FXCM,20150130,6.26051,6.28082,6.28849,6.2545,6.26316,6.28603,6.29093,6.25709,31317
USDCNH.FXCM,20150201,6.28082,6.28112,6.2837,6.27346,6.28603,6.29001,6.29589,6.28756,45
USDCNH.FXCM,20150202,6.28112,6.26614,6.28586,6.26485,6.29001,6.26878,6.29214,6.2674,18120
USDCNH.FXCM,20150203,6.26614,6.25642,6.27459,6.24976,6.26878,6.25906,6.27689,6.25165,25035
USDCNH.FXCM,20150204,6.25642,6.25542,6.25913,6.24635,6.25906,6.2585,6.2645,6.24862,21691
USDCNH.FXCM,20150205,6.25542,6.2417,6.26425,6.2414,6.2585,6.2441,6.26699,6.24381,16881
USDCNH.FXCM,20150206,6.2417,6.2462,6.25273,6.23367,6.2441,6.2504,6.255,6.23599,17673
USDCNH.FXCM,20150208,6.2462,6.24629,6.24735,6.24627,6.2504,6.25343,6.25449,6.25341,178
USDCNH.FXCM,20150209,6.24629,6.2526,6.2541,6.24671,6.25343,6.2552,6.25631,6.24919,12654
USDCNH.FXCM,20150210,6.2526,6.25545,6.25733,6.24081,6.2552,6.25809,6.25953,6.24308,15494
USDCNH.FXCM,20150211,6.25545,6.2451,6.25587,6.24291,6.25809,6.248,6.25939,6.24511,18779
USDCNH.FXCM,20150212,6.2451,6.23891,6.25137,6.23891,6.248,6.24156,6.2535,6.24156,18490
USDCNH.FXCM,20150213,6.23891,6.24193,6.24572,6.23563,6.24156,6.24714,6.25119,6.23799,12935
USDCNH.FXCM,20150215,6.24193,6.2474,6.24841,6.2458,6.24714,6.25128,6.25133,6.24871,155
USDCNH.FXCM,20150216,6.2474,6.2637,6.27144,6.24477,6.25128,6.2683,6.27392,6.24741,13721
USDCNH.FXCM,20150217,6.2637,6.27481,6.28465,6.25914,6.2683,6.27745,6.28691,6.26665,19558
