date,close,unit_nav,premium
2021-05-20,1.082,1.1022,-0.018326982398838676
2021-05-21,1.105,1.0955,0.00867183934276583
2021-05-24,1.1,1.1134,-0.012035207472606335
2021-05-25,1.116,1.1107,0.00477176555325487
2021-05-26,1.113,1.1123,0.0006293266205159576
2021-05-27,1.105,1.1059,-0.0008138168007958413
2021-05-28,1.106,1.1071,-0.0009935868485230204
2021-05-31,1.105,1.1059,-0.0008138168007958413
2021-06-01,1.11,1.1047,0.0047976826287681185
2021-06-02,1.105,1.1092,-0.0037865128020194705
2021-06-03,1.108,1.0987,0.008464549012469291
2021-06-04,1.1,1.12,-0.017857142857142905
2021-06-07,1.114,1.1205,-0.0058009817045960865
2021-06-08,1.119,1.1211,-0.0018731602890018628
2021-06-09,1.119,1.1212,-0.0019621833749553508
2021-06-10,1.117,1.1325,-0.013686534216335589
2021-06-11,1.131,1.1353,-0.0037875451422531015
2021-06-15,1.148,1.1401,0.006929216735374055
2021-06-16,1.139,1.1351,0.0034358206325433294
2021-06-17,1.133,1.1551,-0.01913254263700115
2021-06-18,1.155,1.1481,0.006009929448654416
2021-06-21,1.15,1.1595,-0.008193186718413181
2021-06-22,1.157,1.1712,-0.01212431693989069
2021-06-23,1.173,1.1728,0.00017053206002737298
2021-06-24,1.171,1.1795,-0.007206443408223739
2021-06-25,1.175,1.1736,0.0011929107021131369
2021-06-28,1.173,1.1892,-0.013622603430877844
2021-06-29,1.181,1.193,-0.010058675607711676
2021-06-30,1.192,1.192,0.0
2021-07-01,1.192,1.193,-0.0008382229673093988
2021-07-02,1.193,1.2109,-0.014782393261210669
2021-07-05,1.204,1.2061,-0.0017411491584445882
2021-07-06,1.206,1.2111,-0.0042110478077781455
2021-07-07,1.211,1.2141,-0.002553331686022453
2021-07-08,1.209,1.2095,-0.0004133939644480611
2021-07-09,1.21,1.219,-0.007383100902379147
2021-07-12,1.217,1.2212,-0.003439240091713036
2021-07-13,1.218,1.219,-0.0008203445447089175
2021-07-14,1.218,1.2232,-0.004251144538914398
2021-07-15,1.223,1.2117,0.009325740694891449
2021-07-16,1.211,1.204,0.005813953488372103
2021-07-19,1.203,1.1955,0.006273525721455453
2021-07-20,1.203,1.2103,-0.006031562422539771
2021-07-21,1.21,1.2176,-0.006241787122207687
2021-07-22,1.218,1.2242,-0.005064531939225625
2021-07-23,1.228,1.2405,-0.01007658202337769
2021-07-26,1.241,1.2427,-0.0013679890560873709
2021-07-27,1.241,1.2329,0.006569875902344036
2021-07-28,1.233,1.2375,-0.0036363636363635488
2021-07-29,1.233,1.2327,0.00024336821611115056
2021-07-30,1.214,1.2242,-0.008331971900016333
2021-08-02,1.231,1.2251,0.0048159333931923065
2021-08-03,1.228,1.2338,-0.004700923974712334
2021-08-04,1.235,1.2347,0.00024297400178197037
2021-08-05,1.232,1.2431,-0.008929289679028285
2021-08-06,1.244,1.2379,0.004927700137329349
2021-08-09,1.236,1.2419,-0.0047507850873661495
2021-08-10,1.241,1.2362,0.003882866850024369
2021-08-11,1.236,1.2349,0.0008907603854562129
2021-08-12,1.233,1.2384,-0.0043604651162789665
2021-08-13,1.239,1.2428,-0.0030576118442225964
2021-08-16,1.24,1.2429,-0.002333252876337566
2021-08-17,1.244,1.2321,0.009658306955604212
2021-08-18,1.235,1.2202,0.012129159154237179
2021-08-19,1.216,1.2285,-0.010175010175010102
2021-08-20,1.228,1.2427,-0.01182908183793352
2021-08-23,1.247,1.2591,-0.009610038916686547
2021-08-24,1.264,1.2604,0.0028562361155188842
2021-08-25,1.264,1.2609,0.002458561345071164
2021-08-26,1.262,1.2547,0.0058181238543077995
2021-08-27,1.264,1.2665,-0.001973943939992062
2021-08-30,1.268,1.2785,-0.008212749315604229
2021-08-31,1.289,1.2753,0.010742570375597671
2021-09-01,1.284,1.2785,0.00430191630817367
2021-09-02,1.282,1.2773,0.003679636733735059
2021-09-03,1.282,1.2809,0.0008587711765166706
2021-09-06,1.283,1.28,0.0023437499999998668
2021-09-07,1.285,1.2826,0.0018711991267736927
2021-09-08,1.281,1.2788,0.001720362840162526
2021-09-09,1.273,1.2729,7.856076675305523e-05
2021-09-10,1.272,1.2599,0.00960393682038263
2021-09-13,1.267,1.2616,0.004280279010779875
2021-09-14,1.259,1.2553,0.0029475025890224327
2021-09-15,1.254,1.264,-0.007911392405063333
2021-09-16,1.26,1.2664,-0.005053695514845247
2021-09-17,1.27,1.2529,0.013648335860803051
2021-09-22,1.238,1.2429,-0.003942392791053129
2021-09-23,1.25,1.2537,-0.002951264257796904
2021-09-24,1.249,1.2543,-0.0042254644024554144
2021-09-27,1.257,1.2436,0.010775168864586515
2021-09-28,1.234,1.2073,0.02211546425909039
2021-09-29,1.218,1.208,0.008278145695364225
2021-09-30,1.219,1.202,0.014143094841930326
2021-10-08,1.219,1.2099,0.007521282750640568
2021-10-11,1.205,1.1989,0.005087997330886607
2021-10-12,1.196,1.1983,-0.0019193857965450478
2021-10-13,1.199,1.2057,-0.005556937878410828
2021-10-14,1.216,1.2264,-0.008480104370515273
2021-10-15,1.23,1.2326,-0.00210936232354364
2021-10-18,1.229,1.246,-0.013643659711075395
2021-10-19,1.244,1.2488,-0.0038436899423446302
2021-10-20,1.246,1.2456,0.00032113037893388707
2021-10-21,1.241,1.2548,-0.010997768568696054
2021-10-22,1.249,1.2424,0.005312298776561697
2021-10-25,1.243,1.2531,-0.008060011172292714
2021-10-26,1.258,1.2573,0.0005567485882445045
2021-10-27,1.258,1.2608,-0.002220812182741061
2021-10-28,1.261,1.2771,-0.012606687025291663
2021-10-29,1.265,1.2822,-0.01341444392450486
2021-11-01,1.284,1.289,-0.0038789759503490284
2021-11-02,1.288,1.2938,-0.004482918534549407
2021-11-03,1.291,1.3076,-0.01269501376567772
2021-11-04,1.311,1.3232,-0.009220072551390568
2021-11-05,1.327,1.3254,0.001207182737286816
2021-11-08,1.324,1.323,0.0007558578987150177
2021-11-09,1.325,1.3132,0.008985683825769142
2021-11-10,1.315,1.2937,0.016464404421426826
2021-11-11,1.305,1.2996,0.0041551246537394615
2021-11-12,1.3,1.3109,-0.008314898161568274
2021-11-15,1.315,1.3078,0.005505428964673431
2021-11-16,1.31,1.3172,-0.005466140297600841
2021-11-17,1.319,1.3187,0.000227496777128966
2021-11-18,1.323,1.331,-0.006010518407212673
2021-11-19,1.342,1.3395,0.0018663680477790656
2021-11-22,1.345,1.3237,0.016091259348794962
2021-11-23,1.325,1.3179,0.005387358676682608
2021-11-24,1.325,1.3237,0.0009820956410062642
2021-11-25,1.331,1.3233,0.005818786367414841
2021-11-26,1.317,1.2967,0.015655124546926746
2021-11-29,1.323,1.3253,-0.0017354561231418542
2021-11-30,1.32,1.3015,0.014214368036880476
2021-12-01,1.321,1.2795,0.032434544744040616
2021-12-02,1.291,1.2906,0.0003099333643266089
2021-12-03,1.289,1.2669,0.01744415502407448
2021-12-06,1.274,1.2781,-0.003207886706830476
2021-12-07,1.29,1.3158,-0.019607843137254943
2021-12-08,1.323,1.319,0.0030326004548901775
2021-12-09,1.317,1.2969,0.015498496414527052
2021-12-10,1.305,1.3162,-0.008509345084333764
2021-12-13,1.322,1.2952,0.020691785052501688
2021-12-14,1.299,1.2818,0.013418630051490021
2021-12-15,1.286,1.3121,-0.019891776541422157
2021-12-16,1.319,1.2782,0.03191988734157403
2021-12-17,1.281,1.2741,0.005415587473510675
2021-12-20,1.263,1.2611,0.0015066212037109228
2021-12-21,1.279,1.2889,-0.007680968267514965
2021-12-22,1.284,1.3048,-0.01594114040465966
2021-12-23,1.303,1.3145,-0.008748573602130105
2021-12-24,1.31,1.3143,-0.0032717035684394213
2021-12-27,1.313,1.3355,-0.016847622613253455
2021-12-28,1.332,1.3291,0.0021819276201942017
2021-12-29,1.332,1.3294,0.0019557695200844716
2021-12-30,1.328,1.3241,0.0029453968733479385
2021-12-31,1.324,1.3164,0.005773321178973001
2022-01-04,1.334,1.313,0.01599390708301618
2022-01-05,1.305,1.2714,0.02642756016989134
2022-01-06,1.271,1.2713,-0.0002359789192166728
2022-01-07,1.276,1.2571,0.015034603452390272
2022-01-10,1.266,1.2587,0.005799634543576682
2022-01-11,1.257,1.2771,-0.0157387831806437
2022-01-12,1.281,1.2804,0.0004686035613870043
