日期,纳指ETF,红利低波ETF,中证500ETF,黄金ETF,国债ETF
2014-05-23,0.2403,0.2497,3.0237,2.5970,95.8281
2014-05-30,0.2477,0.2492,3.0566,2.5350,96.4882
2014-06-06,0.2509,0.2480,3.0506,2.5300,96.5220
2014-06-13,0.2481,0.2522,3.1135,2.5440,96.4003
2014-06-20,0.2507,0.2477,3.0267,2.6270,96.6448
2014-06-27,0.2535,0.2512,3.1135,2.6340,96.5984
2014-07-04,0.2609,0.2560,3.2183,2.6350,96.3867
2014-07-11,0.2561,0.2550,3.2392,2.6690,96.0871
2014-07-18,0.2579,0.2589,3.2482,2.6200,95.5564
2014-07-25,0.2621,0.2677,3.2901,2.5790,95.8213
2014-08-01,0.2573,0.2740,3.3978,2.5600,96.4573
2014-08-08,0.2543,0.2755,3.4727,2.6160,96.5607
2014-08-15,0.2621,0.2801,3.5714,2.5990,96.7917
2014-08-22,0.2665,0.2815,3.6523,2.5440,96.5713
2014-08-29,0.2671,0.2787,3.5774,2.5540,96.6487
2014-09-05,0.2677,0.2926,3.7750,2.5160,96.6284
2014-09-12,0.2681,0.2916,3.8528,2.4640,96.5607
2014-09-19,0.2707,0.2912,3.8528,2.4340,97.2276
2014-09-26,0.2625,0.2943,3.9127,2.4290,97.1000
2014-09-30,0.2649,0.2962,3.9845,2.4290,97.7554
2014-10-10,0.2591,0.2959,4.0384,2.4240,97.6877
2014-10-17,0.2511,0.2920,3.9366,2.4490,99.3618
2014-10-24,0.2619,0.2869,3.8648,2.4310,98.9558
2014-10-31,0.2693,0.3051,4.0473,2.3490,99.3666
2014-11-07,0.2725,0.3037,4.0354,2.2580,100.5013
2014-11-14,0.2729,0.3109,3.9755,2.2820,100.3312
2014-11-21,0.2755,0.3100,4.0803,2.3490,100.1766
2014-11-28,0.2799,0.3302,4.2479,2.3530,100.6135
2014-12-05,0.2779,0.3538,4.3377,2.3940,99.1066
2014-12-12,0.2729,0.3614,4.4664,2.4340,99.2400
2014-12-19,0.2805,0.3838,4.4843,2.4140,99.7349
2014-12-26,0.2787,0.3918,4.3975,2.3860,100.0422
2014-12-31,0.2783,0.3985,4.3077,2.4120,99.9398
2015-01-09,0.2777,0.4015,4.3856,2.4390,100.2462
2015-01-16,0.2699,0.4092,4.4814,2.5180,101.6979
2015-01-23,0.2787,0.3979,4.5831,2.6070,102.1580
2015-01-30,0.2741,0.3881,4.5861,2.5420,101.7907
2015-02-06,0.2773,0.3672,4.5023,2.5640,102.8916
2015-02-13,0.2837,0.3806,4.6969,2.4960,103.3846
2015-02-17,0.2873,0.3847,4.8166,2.4880,103.3227
2015-02-27,0.2897,0.3942,4.9154,2.4650,103.1594
2015-03-06,0.2925,0.3834,4.9992,2.4390,102.6693
2015-03-13,0.2861,0.4044,5.1728,2.3590,102.6645
2015-03-20,0.2907,0.4309,5.6127,2.3540,102.7186
2015-03-27,0.2877,0.4386,5.8821,2.4060,102.6867
2015-04-03,0.2831,0.4593,6.3281,2.3920,101.9705
2015-04-10,0.2861,0.4741,6.5646,2.3840,101.8622
2015-04-17,0.2875,0.5072,6.5133,2.3950,102.7573
2015-04-24,0.2923,0.5141,6.9252,2.3990,103.0830
2015-04-30,0.2915,0.5265,6.9848,2.4090,103.6436
2015-05-08,0.2899,0.5025,6.7977,2.3690,103.4493
2015-05-15,0.2927,0.5186,7.2440,2.4250,103.7809
2015-05-22,0.2935,0.5601,8.1744,2.4110,103.4600
2015-05-29,0.2949,0.5684,8.3548,2.3810,102.7553
2015-06-05,0.2927,0.6260,9.3045,2.3680,103.4706
2015-06-12,0.2919,0.6388,9.6670,2.3750,103.0443
2015-06-19,0.2923,0.5613,8.3590,2.3640,102.6461
2015-06-26,0.2939,0.5303,7.3841,2.3530,102.2566
2015-07-03,0.2885,0.4675,6.0669,2.3120,102.3649
