日期,pe_percentile
2012-06-18,1.507936507936508
2012-06-25,1.984126984126984
2012-07-02,1.3492063492063493
2012-07-09,1.0317460317460316
2012-07-16,2.0634920634920637
2012-07-23,1.4285714285714286
2012-07-30,0.3174603174603174
2012-08-06,0.1587301587301587
2012-08-13,0.7936507936507936
2012-08-20,1.5873015873015872
2012-08-27,0.0793650793650793
2012-09-03,0.0793650793650793
2012-09-10,0.0793650793650793
2012-09-17,0.9523809523809524
2012-09-24,1.1111111111111112
2012-10-01,0.1587301587301587
2012-10-08,1.1111111111111112
2012-10-15,1.507936507936508
2012-10-22,2.0634920634920637
2012-10-29,3.095238095238096
2012-11-05,1.0317460317460316
2012-11-12,2.0634920634920637
2012-11-19,1.1111111111111112
2012-11-26,0.0793650793650793
2012-12-03,0.4761904761904762
2012-12-10,0.2380952380952381
2012-12-17,3.015873015873016
2012-12-24,7.063492063492063
2012-12-31,7.063492063492063
2013-01-07,11.190476190476192
2013-01-14,12.777777777777777
2013-01-21,11.825396825396824
2013-01-28,14.285714285714285
2013-02-04,13.968253968253968
2013-02-11,24.126984126984127
2013-02-18,23.015873015873016
2013-02-25,24.285714285714285
2013-03-04,14.126984126984128
2013-03-11,17.38095238095238
2013-03-18,13.968253968253968
2013-03-25,12.61904761904762
2013-04-01,15.95238095238095
2013-04-08,8.73015873015873
2013-04-15,9.206349206349207
2013-04-22,8.015873015873016
2013-04-29,11.507936507936508
2013-05-06,7.063492063492063
2013-05-13,5.238095238095238
2013-05-20,7.380952380952381
2013-05-27,9.761904761904765
2013-06-03,9.682539682539684
2013-06-10,10.07936507936508
2013-06-17,6.428571428571428
2013-06-24,2.4603174603174605
2013-07-01,0.0793650793650793
2013-07-08,0.3968253968253968
2013-07-15,0.7936507936507936
2013-07-22,1.1904761904761905
2013-07-29,0.6349206349206349
2013-08-05,0.9523809523809524
2013-08-12,1.746031746031746
2013-08-19,2.142857142857143
2013-08-26,2.6984126984126986
2013-09-02,1.3492063492063493
2013-09-09,0.873015873015873
2013-09-16,2.2222222222222223
2013-09-23,6.031746031746032
2013-09-30,4.365079365079365
2013-10-07,3.095238095238096
2013-10-14,
2013-10-21,5.714285714285714
2013-10-28,4.365079365079365
2013-11-04,1.1904761904761905
2013-11-11,0.6349206349206349
2013-11-18,0.2380952380952381
2013-11-25,0.9523809523809524
2013-12-02,2.7777777777777777
2013-12-09,4.206349206349207
2013-12-16,5.476190476190476
2013-12-23,2.2222222222222223
2013-12-30,0.1587301587301587
2014-01-06,1.0317460317460316
2014-01-13,0.4761904761904762
2014-01-20,0.0793650793650793
2014-01-27,0.0793650793650793
2014-02-03,0.873015873015873
2014-02-10,1.0317460317460316
2014-02-17,0.5555555555555556
2014-02-24,2.2222222222222223
2014-03-03,1.8253968253968256
2014-03-10,0.5555555555555556
2014-03-17,0.3968253968253968
2014-03-24,0.3174603174603174
2014-03-31,1.1111111111111112
2014-04-07,1.2698412698412698
2014-04-14,1.6666666666666667
2014-04-21,5.873015873015873
2014-04-28,4.047619047619048
2014-05-05,1.9047619047619049
2014-05-12,0.4761904761904762
2014-05-19,0.2380952380952381
2014-05-26,1.0317460317460316
2014-06-02,1.4285714285714286
2014-06-09,2.142857142857143
2014-06-16,1.5873015873015872
2014-06-23,4.206349206349207
2014-06-30,3.650793650793651
2014-07-07,3.571428571428571
2014-07-14,5.555555555555555
2014-07-21,3.015873015873016
2014-07-28,3.968253968253968
2014-08-04,9.841269841269842
2014-08-11,12.93650793650794
2014-08-18,12.93650793650794
2014-08-25,13.88888888888889
2014-09-01,13.730158730158731
2014-09-08,10.555555555555555
2014-09-15,14.841269841269842
2014-09-22,15.714285714285714
2014-09-29,15.0
2014-10-06,15.317460317460318
2014-10-13,16.03174603174603
2014-10-20,17.46031746031746
2014-10-27,15.0
2014-11-03,12.142857142857142
2014-11-10,18.96825396825397
2014-11-17,16.666666666666664
2014-11-24,25.07936507936508
2014-12-01,24.047619047619047
2014-12-08,35.0
2014-12-15,55.87301587301587
2014-12-22,53.80952380952381
2014-12-29,63.41269841269841
2015-01-05,64.44444444444444
2015-01-12,65.39682539682539
2015-01-19,66.11111111111111
2015-01-26,69.04761904761905
2015-02-02,67.53968253968254
2015-02-09,65.23809523809524
2015-02-16,63.57142857142857
2015-02-23,65.95238095238095
2015-03-02,66.11111111111111
2015-03-09,67.38095238095238
2015-03-16,65.63492063492063
2015-03-23,68.41269841269842
2015-03-30,73.96825396825398
2015-04-06,75.31746031746032
2015-04-13,77.38095238095238
2015-04-20,87.14285714285714
2015-04-27,94.2063492063492
2015-05-04,94.6031746031746
2015-05-11,94.68253968253968
2015-05-18,91.11111111111111
2015-05-25,91.98412698412696
2015-06-01,96.26984126984128
2015-06-08,95.15873015873017
2015-06-15,98.25396825396824
2015-06-22,98.57142857142858
2015-06-29,97.6984126984127
2015-07-06,87.46031746031746
2015-07-13,75.39682539682539
2015-07-20,89.92063492063492
2015-07-27,86.42857142857143
2015-08-03,85.0
2015-08-10,74.68253968253968
2015-08-17,75.47619047619048
2015-08-24,77.06349206349206
2015-08-31,67.85714285714286
2015-09-07,63.650793650793645
2015-09-14,64.76190476190476
2015-09-21,63.650793650793645
2015-09-28,62.38095238095238
2015-10-05,61.11111111111112
2015-10-12,56.98412698412698
2015-10-19,64.20634920634922
2015-10-26,67.38095238095238
2015-11-02,68.25396825396825
2015-11-09,69.52380952380952
2015-11-16,73.17460317460316
2015-11-23,72.61904761904762
2015-11-30,73.09523809523809
2015-12-07,68.80952380952381
2015-12-14,71.58730158730158
2015-12-21,70.07936507936508
2015-12-28,76.11111111111111
2016-01-04,77.6984126984127
2016-01-11,74.12698412698413
2016-01-18,65.87301587301587
2016-01-25,54.84126984126985
2016-02-01,55.00000000000001
2016-02-08,45.31746031746032
2016-02-15,46.98412698412698
2016-02-22,46.03174603174603
2016-02-29,51.031746031746025
2016-03-07,45.47619047619048
2016-03-14,57.61904761904761
