mom_w,vol_w,val_w,top_n,def_alloc,step_low,step_high,max_def,hongli_ratio,annual_return,max_drawdown,sharpe,final_nav,ret_dd
0.35,0.05,0.45,2,0.3,0.15,0.3,0.9,0.2,0.0915065731809197,0.0982488892797015,1.1796794216963167,2.982621655484386,0.9313751417628008
0.35,0.1,0.1,1,0.3,0.15,0.3,0.9,0.2,0.11865303919777803,0.13697515246458677,1.1802903734115795,4.052808990490811,0.8662376866377594
0.35,0.1,0.1,2,0.3,0.15,0.3,0.9,0.2,0.09705179844469725,0.09944309502938531,1.2728164524451384,3.177353773728443,0.9759531158600662
0.35,0.1,0.15,1,0.3,0.15,0.3,0.9,0.2,0.11865303919777803,0.13697515246458677,1.1802903734115795,4.052808990490811,0.8662376866377594
0.35,0.1,0.15,2,0.3,0.15,0.3,0.9,0.2,0.09705179844469725,0.09944309502938531,1.2728164524451384,3.177353773728443,0.9759531158600662
0.35,0.1,0.2,1,0.3,0.15,0.3,0.9,0.2,0.11865303919777803,0.13697515246458677,1.1802903734115795,4.052808990490811,0.8662376866377594
0.35,0.1,0.2,2,0.3,0.15,0.3,0.9,0.2,0.09705179844469725,0.09944309502938531,1.2728164524451384,3.177353773728443,0.9759531158600662
0.35,0.1,0.25,1,0.3,0.15,0.3,0.9,0.2,0.11865303919777803,0.13697515246458677,1.1802903734115795,4.052808990490811,0.8662376866377594
0.35,0.1,0.25,2,0.3,0.15,0.3,0.9,0.2,0.09705179844469725,0.09944309502938531,1.2728164524451384,3.177353773728443,0.9759531158600662
0.35,0.1,0.3,1,0.3,0.15,0.3,0.9,0.2,0.11865303919777803,0.13697515246458677,1.1802903734115795,4.052808990490811,0.8662376866377594
0.35,0.1,0.3,2,0.3,0.15,0.3,0.9,0.2,0.09705179844469725,0.09944309502938531,1.2728164524451384,3.177353773728443,0.9759531158600662
0.35,0.1,0.35,1,0.3,0.15,0.3,0.9,0.2,0.11865303919777803,0.13697515246458677,1.1802903734115795,4.052808990490811,0.8662376866377594
0.35,0.1,0.35,2,0.3,0.15,0.3,0.9,0.2,0.09705179844469725,0.09944309502938531,1.2728164524451384,3.177353773728443,0.9759531158600662
0.35,0.1,0.4,1,0.3,0.15,0.3,0.9,0.2,0.11865303919777803,0.13697515246458677,1.1802903734115795,4.052808990490811,0.8662376866377594
0.35,0.1,0.4,2,0.3,0.15,0.3,0.9,0.2,0.09705179844469725,0.09944309502938531,1.2728164524451384,3.177353773728443,0.9759531158600662
0.35,0.1,0.45,1,0.3,0.15,0.3,0.9,0.2,0.11865303919777803,0.13697515246458677,1.1802903734115795,4.052808990490811,0.8662376866377594
0.35,0.1,0.45,2,0.3,0.15,0.3,0.9,0.2,0.09705179844469725,0.09944309502938531,1.2728164524451384,3.177353773728443,0.9759531158600662
0.35,0.15,0.1,1,0.3,0.15,0.3,0.9,0.2,0.11508989305339323,0.12027184304436317,1.1077794093784645,3.8946074303499905,0.956914687097141
0.35,0.15,0.1,2,0.3,0.15,0.3,0.9,0.2,0.1076881092298958,0.07916905644516588,1.4019791483630657,3.583971013679148,1.3602297926145275
0.35,0.15,0.15,1,0.3,0.15,0.3,0.9,0.2,0.11508989305339323,0.12027184304436317,1.1077794093784645,3.8946074303499905,0.956914687097141
0.35,0.15,0.15,2,0.3,0.15,0.3,0.9,0.2,0.1076881092298958,0.07916905644516588,1.4019791483630657,3.583971013679148,1.3602297926145275
0.35,0.15,0.2,1,0.3,0.15,0.3,0.9,0.2,0.11508989305339323,0.12027184304436317,1.1077794093784645,3.8946074303499905,0.956914687097141
0.35,0.15,0.2,2,0.3,0.15,0.3,0.9,0.2,0.1076881092298958,0.07916905644516588,1.4019791483630657,3.583971013679148,1.3602297926145275
0.35,0.15,0.25,1,0.3,0.15,0.3,0.9,0.2,0.11508989305339323,0.12027184304436317,1.1077794093784645,3.8946074303499905,0.956914687097141
0.35,0.15,0.25,2,0.3,0.15,0.3,0.9,0.2,0.1076881092298958,0.07916905644516588,1.4019791483630657,3.583971013679148,1.3602297926145275
0.35,0.15,0.3,1,0.3,0.15,0.3,0.9,0.2,0.11508989305339323,0.12027184304436317,1.1077794093784645,3.8946074303499905,0.956914687097141
0.35,0.15,0.3,2,0.3,0.15,0.3,0.9,0.2,0.1076881092298958,0.07916905644516588,1.4019791483630657,3.583971013679148,1.3602297926145275
0.35,0.15,0.35,1,0.3,0.15,0.3,0.9,0.2,0.11508989305339323,0.12027184304436317,1.1077794093784645,3.8946074303499905,0.956914687097141
0.35,0.15,0.35,2,0.3,0.15,0.3,0.9,0.2,0.1076881092298958,0.07916905644516588,1.4019791483630657,3.583971013679148,1.3602297926145275
0.35,0.15,0.4,1,0.3,0.15,0.3,0.9,0.2,0.11508989305339323,0.12027184304436317,1.1077794093784645,3.8946074303499905,0.956914687097141
0.35,0.15,0.4,2,0.3,0.15,0.3,0.9,0.2,0.1076881092298958,0.07916905644516588,1.4019791483630657,3.583971013679148,1.3602297926145275
0.35,0.15,0.45,1,0.3,0.15,0.3,0.9,0.2,0.11508989305339323,0.12027184304436317,1.1077794093784645,3.8946074303499905,0.956914687097141
0.35,0.15,0.45,2,0.3,0.15,0.3,0.9,0.2,0.1076881092298958,0.07916905644516588,1.4019791483630657,3.583971013679148,1.3602297926145275
