mom_w,vol_w,val_w,top_n,defensive_allocation,total_return,annual_return,max_drawdown,defensive_weeks,total_weeks
0.5,0.6,0.1,2,0.3,2.816853982612199,0.11147805610316319,-0.10774160029247766,42,659
0.4,0.8,0.2,2,0.7,2.275257682130692,0.098137440843439,-0.13970654891564913,67,659
0.3,0.8,0.3,2,0.3,3.3083754582550355,0.12215294872922766,-0.10535138189536607,41,659
0.3,1.0,0.2,2,0.4,2.8795668909911725,0.11290828594140012,-0.11522554771435996,35,659
0.3,1.0,0.2,2,0.65,2.513995235186842,0.10425092184534401,-0.1172374578318369,54,659
0.1,0.7,0.0,1,0.55,3.0416122206856757,0.11650756829301412,-0.10602652726664455,47,659
0.0,0.7,0.4,2,0.4,3.071948566675508,0.11716657757602711,-0.1021180154641807,34,659
0.0,0.7,0.4,2,0.65,2.5467758235018128,0.10506028333954442,-0.11643803323740365,52,659
0.5,0.1,0.3,1,0.7,1.8729670904290905,0.08684020648988167,-0.1664598365609799,94,659
0.1,0.4,0.3,1,0.35,1.6841215953576927,0.08102485863065456,-0.1317314259604621,95,659
0.1,0.4,0.3,1,0.6,1.811443410890273,0.08498532321793606,-0.16431099995826484,101,659
0.45,0.7,0.2,2,0.5,2.9338260049424996,0.11412863850772825,-0.10113856061300337,27,659
0.45,0.7,0.2,2,0.75,2.2328178350894916,0.09700788280633987,-0.14815388165788873,73,659
0.45,0.6,0.0,1,0.55,3.2690388555413783,0.12134107902810753,-0.09716169366201209,43,659
0.1,0.9,0.4,1,0.45,1.744774352563332,0.08293261819460551,-0.10443748895551357,56,659
0.0,0.3,0.3,2,0.3,2.6134273027580854,0.10668489637803225,-0.10629846966126033,41,659
0.1,0.9,0.0,1,0.5,3.1162731579639793,0.11812137396416889,-0.10473627919689485,40,659
0.1,0.9,0.0,1,0.75,2.2300209216380926,0.09693296266697837,-0.16605673704432058,61,659
0.2,0.7,0.1,1,0.7,1.619081018357893,0.07893444944770378,-0.16645983656098032,77,659
0.0,0.8,0.2,1,0.4,1.803774014385147,0.08475148264435028,-0.12862360968766406,88,659
0.0,0.8,0.2,1,0.65,1.694187228895276,0.0813441915038513,-0.1652005311368871,96,659
0.5,0.9,0.2,1,0.35,1.0252249348564781,0.057262964862041965,-0.17350198930846572,202,659
0.5,0.9,0.2,1,0.6,1.1556471576952352,0.06248243483346405,-0.16431099995826515,150,659
0.05,0.3,0.2,1,0.45,1.5925538472348806,0.07806810763718697,-0.12800607617407286,80,659
0.1,0.1,0.1,2,0.4,3.1114131101272786,0.11801714714040434,-0.09413809943148203,41,659
0.1,0.1,0.1,2,0.65,2.347670715379049,0.10003398678109776,-0.13115589197173208,66,659
0.0,0.5,0.2,1,0.7,1.768416462967283,0.08366575024070677,-0.1664598365609799,80,659
0.25,0.3,0.4,2,0.3,2.5263685733648646,0.10455723676629014,-0.10895410951527983,45,659
0.4,0.4,0.3,1,0.3,1.766727859228285,0.08361357894428423,-0.10957759003703459,68,659
0.0,0.2,0.4,1,0.5,1.9150114012115762,0.08808687373851298,-0.12818681283343922,77,659
0.0,0.2,0.4,1,0.75,1.9249233310013878,0.08837836148433986,-0.1465520529712913,82,659
0.15,0.3,0.3,1,0.3,1.1801870039765143,0.06343187470923772,-0.12517085218115612,114,659
0.4,0.9,0.4,1,0.4,1.6208955246453063,0.07899341304933816,-0.1303331805807316,87,659
0.4,0.9,0.4,1,0.65,1.511928028267533,0.07538392847300979,-0.16520053113688696,115,659
0.1,0.4,0.2,1,0.35,1.6379638377153243,0.07954622639189224,-0.13125509902898005,110,659
0.1,0.4,0.2,1,0.6,1.5783551283420567,0.0776010361166033,-0.16431099995826484,98,659
0.3,0.3,0.0,2,0.3,4.114000838952086,0.13743476147022493,-0.09976747161885238,4,659
0.0,0.3,0.1,1,0.7,1.7227451195690926,0.08224424701307287,-0.16645983656098004,84,659
0.25,0.1,0.3,2,0.35,2.792485247849312,0.11091645675395578,-0.09495607373350005,45,659
0.0,0.8,0.4,2,0.4,3.0480805882164326,0.1166484646446917,-0.1021180154641807,34,659
0.0,0.8,0.4,2,0.65,2.520478316657091,0.10441154097917837,-0.11643803323740365,52,659
0.0,0.2,0.0,2,0.3,4.109018355887768,0.1373472783209102,-0.11999251231275362,26,659
0.05,0.2,0.2,2,0.5,2.447333504113088,0.10258334719265916,-0.10993538376265152,44,659
0.2,0.9,0.2,1,0.5,1.6694452631076317,0.08055726880227931,-0.11950506428980043,84,659
0.05,0.2,0.2,2,0.75,2.0658898007598325,0.09242826625846123,-0.1509888058487467,74,659
0.2,0.9,0.2,1,0.75,1.737053130948663,0.0826919259853669,-0.1465520529712909,60,659
0.2,0.8,0.0,1,0.5,2.762372962024937,0.11021788270645572,-0.10473627919689478,73,659
0.2,0.8,0.0,1,0.75,2.160855490451215,0.0950609757955565,-0.1660567370443208,74,659
0.1,0.2,0.1,1,0.3,1.7944961273152642,0.08446781028992767,-0.11806278432728447,89,659
0.15,0.2,0.3,2,0.35,2.6433776371038684,0.10740595743837944,-0.10225747467899941,41,659
0.15,0.2,0.3,2,0.6,2.3340785353887292,0.09968089804673008,-0.12290817452917899,55,659
0.1,0.2,0.2,2,0.4,2.6019694136933005,0.1064075884704474,-0.1031879370256481,49,659
0.1,0.2,0.2,2,0.65,2.2476698822858645,0.09740472295430092,-0.13115589197173186,60,659
0.3,0.3,0.1,2,0.7,2.422124898699169,0.10194499276517255,-0.13680515305564458,67,659
0.35,0.1,0.2,1,0.35,1.5242549863182009,0.07579940895840975,-0.12395061431936123,95,659
0.35,0.1,0.2,1,0.6,1.7311958287067308,0.08250891985511566,-0.16431099995826473,113,659
0.4,0.4,0.2,1,0.3,2.001081113574664,0.09058811868766403,-0.12549573079721715,76,659
0.1,1.0,0.0,1,0.7,2.3533764896037104,0.10018181427625383,-0.16531597766766307,64,659
0.5,0.2,0.2,1,0.4,1.2097691825852461,0.06456340215012446,-0.12979545684535015,99,659
0.5,0.2,0.2,1,0.65,1.661353968445546,0.08029846555322084,-0.16520053113688696,98,659
0.15,0.8,0.4,1,0.4,1.8964627159119023,0.08753893699774107,-0.10836463136912758,55,659
0.15,0.8,0.4,1,0.65,1.7450076737415596,0.082939881760425,-0.1652005311368873,92,659
0.25,0.8,0.0,1,0.55,2.9940503117164994,0.11546513221142551,-0.11376384808786372,47,659
0.0,0.6,0.3,2,0.5,2.952928476122017,0.11455458823987286,-0.09953494076970279,36,659
0.0,0.6,0.3,2,0.75,2.180101845741965,0.09558564460604901,-0.14923965704959233,80,659
0.3,0.3,0.3,2,0.55,2.5299259780307763,0.10464512081025745,-0.11673507537899167,58,659
0.2,0.5,0.3,1,0.35,1.8505887051995065,0.08616979001624614,-0.12492658974402326,85,659
0.1,0.1,0.4,1,0.45,1.7107507860116615,0.08186728720478698,-0.12700163224693684,79,659
