日期,纳指ETF,红利ETF,红利低波ETF,沪深300ETF,黄金ETF,国债ETF
2020-01-16,0.6878559,2.141498902409,0.5903496,3.7017581897036,3.406,117.39330001986
2020-01-17,0.6962517,2.1270650394044,0.5893722,3.7062224422238,3.404,117.50318944218
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,0.6844576,2.1270650394044,0.5888835,3.7330079573447,3.405,117.55617184223
2020-01-21,0.6790603,2.0880994082946,0.5795982,3.6651513190385,3.437,118.11150588719
2020-01-22,0.6868564,2.0850432803644,0.5800869,3.6776512260949,3.407,117.83776348694
2020-01-23,0.6952522,2.0376732974466,0.5649372,3.5678306140993,3.43,118.52261006535
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,0.6602697,1.847429333793,0.5116689,3.2669399942416,3.52,120.28672775587
2020-02-04,0.6840578,1.8963273806759,0.5307282,3.3660464001888,3.492,119.04949059917
2020-02-05,0.713643,1.9207764041173,0.5341491,3.3990818688379,3.469,119.23492899934
2020-02-06,0.7360318,1.9253605960126,0.5405022,3.4794384142005,3.452,118.89152455458
2020-02-07,0.7414291,1.9207764041173,0.53757,3.4714027596642,3.468,119.07892526586
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,0.7460268,1.9536297793667,0.5453892,3.4830098162166,3.481,119.27809984383
2020-02-11,0.7738129,1.9643262271223,0.5483214,3.5205095373858,3.472,119.34972419945
2020-02-12,0.7938029,1.9696744510002,0.5512536,3.5455093514986,3.465,119.23198553267
2020-02-13,0.8389803,1.9574499392794,0.5488101,3.526759490914,3.49,119.06028331029
2020-02-14,0.801599,1.9689104190176,0.552231,3.5508664545228,3.494,119.05635868807
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,0.7948024,2.0032918582321,0.5629824,3.6285444483733,3.505,118.88269415457
2020-02-18,0.7670163,2.0048199221972,0.5600502,3.6062231857726,3.522,118.86012757677
2020-02-19,0.7594201,2.0032918582321,0.5585841,3.6071160362766,3.562,118.88563762124
2020-02-20,0.763618,2.0307970096037,0.5654259,3.6883654321432,3.574,118.74337006555
2020-02-21,0.7434281,2.0430215213244,0.5659146,3.7008653391996,3.646,118.86012757677
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,0.7112442,2.0292689456386,0.5590728,3.6714012725667,3.725,119.08284988809
2020-02-25,0.7368314,2.0032918582321,0.5536971,3.6642584685344,3.648,119.01515015469
2020-02-26,0.7234381,2.0086400821099,0.557118,3.6339015513975,3.668,119.02888633248
2020-02-27,0.713643,2.010168146075,0.5605389,3.6347944019015,3.669,119.14956846593
2020-02-28,0.6780608,1.9543938113493,0.547344,3.5115810323455,3.623,119.66565628863
2020-02-29,,,,,,
2020-03-01,,,,,,
2020-03-02,0.7078459,2.0147523379703,0.566892,3.6392586544216,3.542,119.45470784399
2020-03-03,0.7126435,2.0201005618481,0.566892,3.6365801029095,3.536,119.47629326623
2020-03-04,0.7130433,2.0384373294292,0.5742225,3.6624727675264,3.612,119.65192011084
2020-03-05,0.7138429,2.0552460330452,0.5810643,3.7499721169212,3.611,119.67743015531
2020-03-06,0.6982507,2.0376732974466,0.5722677,3.6794369271029,3.686,119.83833966657
2020-03-07,,,,,,
2020-03-08,,,,,,
2020-03-09,0.6512742,1.983427026686,0.5576067,3.5624735110751,3.659,120.6556422451
2020-03-10,0.6822587,2.0116962100401,0.5644485,3.6410443554297,3.612,120.29359584477
2020-03-11,0.6584706,1.9994716983194,0.5595615,3.5812233716598,3.648,120.29261468921
2020-03-12,0.6348824,1.9681463870351,0.5517423,3.5249737899059,3.608,120.38876793374
2020-03-13,0.6430783,1.9345289798031,0.5419683,3.4722956101682,3.502,119.90898286663
2020-03-14,,,,,,
2020-03-15,,,,,,
2020-03-16,0.6026985,1.8902151248155,0.5287734,3.3267609780115,3.414,119.76671531095
2020-03-17,0.6158919,1.872642389217,0.5282847,3.2972969113786,3.255,119.49591637736
2020-03-18,0.5993002,1.8527775576708,0.5194881,3.2419401801288,3.326,119.49591637736
2020-03-19,0.6118939,1.8199241824214,0.5102028,3.2106904124878,3.312,119.18979584374
2020-03-20,0.6318839,1.839024981985,0.5204655,3.2535472366812,3.346,119.40761237728
2020-03-21,,,,,,
2020-03-22,,,,,,
2020-03-23,0.6034981,1.7817225832942,0.5053158,3.1481908772058,3.337,119.99238108893
2020-03-24,0.6358819,1.813811926561,0.518022,3.2240831700482,3.523,120.00709842228
2020-03-25,0.6600698,1.8573617495661,0.5292621,3.308903967931,3.581,120.02574037785
2020-03-26,0.643678,1.8436091738803,0.5253525,3.2883684063383,3.572,120.28672775587
2020-03-27,0.6314841,1.8535415896534,0.5292621,3.3035468649068,3.612,120.48590233383
2020-03-28,,,,,,
2020-03-29,,,,,,
2020-03-30,0.6184906,1.8367328860374,0.5253525,3.2731899477698,3.583,120.64092491176
2020-03-31,0.6194901,1.8329127261247,0.5233977,3.2758684992819,3.586,120.87149646752
2020-04-01,0.6128934,1.8206882144039,0.5209542,3.279439901298,3.528,121.09912455662
2020-04-02,0.6242877,1.8405530459501,0.5263299,3.3240824264994,3.543,120.94802660093
2020-04-03,0.6150923,1.8352048220723,0.5248638,3.3008683133947,3.575,120.89111957865
2020-04-04,,,,,,
2020-04-05,,,,,,
2020-04-06,,,,,,
2020-04-07,0.6346825,1.8619459414614,0.532683,3.3749749052291,3.676,121.5278895348
2020-04-08,0.6308844,1.8627099734439,0.5312169,3.3615821476687,3.641,122.04103389083
2020-04-09,0.6332832,1.8619459414614,0.532683,3.371403503213,3.65,122.17839566874
2020-04-10,0.6248874,1.8489573977581,0.5302395,3.3606892971646,3.671,121.94193717963
2020-04-11,,,,,,
2020-04-12,,,,,,
2020-04-13,0.6186905,1.8413170779327,0.5302395,3.34193943658,3.67,122.11265824645
2020-04-14,0.6326835,1.8596538455137,0.5346378,3.3972961678298,3.712,122.15190446871
2020-04-15,0.6470763,1.8527775576708,0.5317056,3.3776534567412,3.702,122.72980509147
2020-04-16,0.6520738,1.8466653018105,0.5307282,3.3794391577492,3.73,122.60814180247
2020-04-17,0.6746625,1.8520135256883,0.5336604,3.4097960748862,3.669,122.53063051351
2020-04-18,,,,,,
2020-04-19,,,,,,
2020-04-20,0.6746625,1.8543056216359,0.5356152,3.4240816829507,3.651,122.5218001135
2020-04-21,0.6692652,1.8420811099152,0.5307282,3.3883676627895,3.684,122.58459406911
2020-04-22,0.6842577,1.8428451418977,0.5307282,3.4187245799265,3.674,123.03003869175
2020-04-23,0.6926535,1.8367328860374,0.5307282,3.4124746263983,3.739,123.41759513655
2020-04-24,0.6888554,1.8229803103516,0.5268186,3.3839034102694,3.769,123.49216295884
2020-04-25,,,,,,
2020-04-26,,,,,,
2020-04-27,0.7130433,1.8313846621596,0.5312169,3.3990818688379,3.741,123.52355993665
2020-04-28,0.7308344,1.8176320864738,0.5317056,3.4205102809346,3.714,123.65405362566
2020-04-29,0.7440278,1.8420811099152,0.5409909,3.4383672910151,3.733,124.01610002599
2020-04-30,0.7470263,1.8734064211995,0.5463666,3.4892597697448,3.746,124.05240278158
2020-05-01,,,,,,
2020-05-02,,,,,,
2020-05-03,,,,,,
2020-05-04,,,,,,
2020-05-05,,,,,,
2020-05-06,0.7492252,1.872642389217,0.5453892,3.4981882747851,3.741,123.79828349246
2020-05-07,0.7524236,1.8734064211995,0.5453892,3.4919383212569,3.723,123.0830210918
2020-05-08,0.7574211,1.8863949649028,0.5483214,3.5294380424261,3.769,122.92407389165
2020-05-09,,,,,,
2020-05-10,,,,,,
2020-05-11,0.7448274,1.8848669009377,0.5517423,3.5231880888979,3.754,122.65719958029
2020-05-12,0.7308344,1.8764625491297,0.5478327,3.5222952383938,3.746,122.82890180267
2020-05-13,0.7284356,1.8779906130948,0.5492988,3.5303308929301,3.757,122.76218322483
2020-05-14,0.7168414,1.8596538455137,0.5429457,3.5008668262972,3.781,122.96233895835
2020-05-15,0.721639,1.855833685601,0.5414796,3.4839026667206,3.834,123.17034393632
2020-05-16,,,,,,
2020-05-17,,,,,,
2020-05-18,0.7298349,1.855833685601,0.5439231,3.494616872769,3.927,122.74452242482
2020-05-19,0.7492252,1.8619459414614,0.5453892,3.5205095373858,3.865,122.55614055797
2020-05-20,0.7438279,1.8497214297406,0.5429457,3.5062239293213,3.906,122.16171602428
2020-05-21,0.743628,1.8436091738803,0.5429457,3.4830098162166,3.87,122.18722606874
2020-05-22,0.7188404,1.8176320864738,0.5331717,3.4062246728701,3.865,122.72293700257
2020-05-23,,,,,,
2020-05-24,,,,,,
2020-05-25,0.7422287,1.8168680544912,0.5351265,3.4080103738782,3.858,122.40700491339
2020-05-26,0.7590203,1.8260364382818,0.5370813,3.4490814970635,3.876,121.74080029055
2020-05-27,0.7540228,1.8352048220723,0.5380587,3.433010187991,3.835,121.45430286806
2020-05-28,0.7510243,1.8382609500025,0.5405022,3.4374744405111,3.863,121.69076135717
2020-05-29,0.745627,1.8275645022469,0.5395248,3.4517600485756,3.864,121.55732420149
2020-05-30,,,,,,
2020-05-31,,,,,,
2020-06-01,0.7484256,1.8581257815486,0.5478327,3.5428307999865,3.895,121.38954660134
2020-06-02,0.7472262,1.8627099734439,0.5497875,3.5526521555308,3.888,120.81753291192
2020-06-03,0.7538229,1.8703502932694,0.5502762,3.5517593050268,3.853,120.5114123783
2020-06-04,0.7582207,1.8787546450773,0.5517423,3.5535450060349,3.82,120.38876793374
2020-06-05,0.7580208,1.8672941653392,0.5497875,3.5740805676275,3.817,120.25827424473
2020-06-06,,,,,,
2020-06-07,,,,,,
2020-06-08,0.7588204,1.8749344851646,0.5532084,3.5910447272041,3.783,120.57322517836
2020-06-09,0.7600198,1.8795186770599,0.5556519,3.6151516908128,3.782,120.64190606731
2020-06-10,0.7572212,1.8718783572344,0.5556519,3.6071160362766,3.821,120.33971015592
2020-06-11,0.7568214,1.8588898135312,0.5502762,3.5740805676275,3.855,120.5114123783
2020-06-12,0.7444276,1.8565977175835,0.5512536,3.5830090726678,3.854,120.69292615625
2020-06-13,,,,,,
2020-06-14,,,,,,
2020-06-15,0.7326335,1.8443732058628,0.5463666,3.5321165939382,3.844,120.82832562304
2020-06-16,0.7608194,1.8657661013741,0.552231,3.587473325188,3.84,120.16408331131
2020-06-17,0.763618,1.8718783572344,0.5546745,3.5910447272041,3.842,119.71078944423
2020-06-18,0.7584206,1.8879230288679,0.557118,3.618723092829,3.836,119.67252437752
2020-06-19,0.7600198,1.8856309329202,0.5590728,3.6651513190385,3.844,119.50474677737
2020-06-20,,,,,,
2020-06-21,,,,,,
2020-06-22,0.7568214,1.8764625491297,0.5551632,3.6687227210546,3.886,119.64407086639
2020-06-23,0.7634181,1.8695862612868,0.5532084,3.6856868806311,3.882,119.11326571034
2020-06-24,0.7654171,1.8718783572344,0.5556519,3.7178294987762,3.91,119.6009000219
2020-06-25,,,,,,
2020-06-26,,,,,,
2020-06-27,,,,,,
2020-06-28,,,,,,
2020-06-29,0.751624,1.8581257815486,0.5527197,3.6856868806311,3.91,119.84324544435
2020-06-30,0.753623,1.8711143252519,0.5580954,3.7303294058326,3.914,119.69705326644
2020-07-01,0.7568214,1.9016756045537,0.5732451,3.8142573532113,3.939,119.85600046658
2020-07-02,0.7602197,1.9452254275587,0.5893722,3.9017567026061,3.903,119.98943762226
2020-07-03,0.7600198,1.9734946109129,0.5976801,3.9794346964566,3.915,119.84324544435
2020-07-04,,,,,,
2020-07-05,,,,,,
2020-07-06,0.7652172,2.1133124637186,0.6372648,4.2713968112741,3.902,119.12798304369
2020-07-07,0.7674161,2.0804590884691,0.6357987,4.2285399870807,3.911,118.81597557673
2020-07-08,0.7638179,2.1110203677709,0.6372648,4.2838967183305,3.928,118.59717788764
2020-07-09,0.7674161,2.1201887515615,0.6426405,4.3499676556286,3.954,118.60895175432
2020-07-10,0.7690153,2.0728187686437,0.6284682,4.2722896617781,3.926,118.96805468798
2020-07-11,,,,,,
2020-07-12,,,,,,
2020-07-13,0.7846075,2.1133124637186,0.6445953,4.361574712181,3.939,118.66095299881
2020-07-14,0.7740128,2.1010879519978,0.6411744,4.3231821405077,3.935,119.11228455478
2020-07-15,0.7760118,2.0705266726961,0.6343326,4.2713968112741,3.94,119.32519531054
2020-07-16,0.763618,2.0155163699528,0.6260247,4.0678268963555,3.927,119.71667637757
2020-07-17,0.7732132,2.0170444339179,0.6235812,4.1115765710529,3.904,119.50572793293
2020-07-18,,,,,,
2020-07-19,,,,,,
2020-07-20,0.7694151,2.0942116641549,0.6489936,4.2205043325444,3.925,119.25258979936
2020-07-21,0.7962017,2.0888634402771,0.6475275,4.2312185385928,3.951,119.47433095512
2020-07-22,0.7884056,2.0896274722597,0.6480162,4.2785396153063,4.043,119.89917131107
2020-07-23,0.7908044,2.0644144168357,0.6421518,4.2553255022015,4.066,120.18370642244
2020-07-24,0.7670163,2.0055839541798,0.6226038,4.0660411953474,4.109,120.05517504455
2020-07-25,,,,,,
2020-07-26,,,,,,
2020-07-27,0.7694151,1.9956515384067,0.6182055,4.0910410094602,4.203,120.18174411133
2020-07-28,0.7750123,2.010168146075,0.6221151,4.1222907771012,4.198,119.94430446667
2020-07-29,0.7724136,2.0338531375339,0.630423,4.240147043633,4.206,119.81086731099
2020-07-30,0.7714141,2.035381201499,0.6357987,4.208897275992,4.174,119.68626055532
2020-07-31,0.783608,2.0498978091673,0.6406857,4.2410398941371,4.216,119.46157593289
2020-08-01,,,,,,
2020-08-02,,,,,,
2020-08-03,0.7832082,2.0965037601026,0.6577902,4.3080036819392,4.2,119.36346037724
2020-08-04,0.7942027,2.0972677920851,0.6592563,4.3115750839554,4.206,119.37817771059
2020-08-05,0.7930033,2.0858073123469,0.6553467,4.3133607849634,4.32,119.43214126619
2020-08-06,0.7912042,2.09573972812,0.6538806,4.2972894758909,4.353,119.32911993276
2020-08-07,0.8003996,2.0919195682073,0.6553467,4.2544326516975,4.378,119.32421415498
2020-08-08,,,,,,
2020-08-09,,,,,,
2020-08-10,0.7984006,2.1163685916487,0.6612111,4.268718259762,4.349,119.3193083772
2020-08-11,0.7980008,2.1064361758757,0.6587676,4.2267542860726,4.253,119.2967417994
2020-08-12,0.7958019,2.0911555362248,0.654858,4.1981830699437,3.989,118.88269415457
2020-08-13,0.8125935,2.1094923038058,0.6607224,4.1847903123833,4.054,118.9925835769
2020-08-14,0.8111942,2.1201887515615,0.664632,4.2660397082499,4.088,119.01515015469
2020-08-15,,,,,,
2020-08-16,,,,,,
2020-08-17,0.8121937,2.1675587344792,0.6827139,4.3544319081487,4.129,119.14073806592
2020-08-18,0.8113941,2.1698508304269,0.6832026,4.3481819546205,4.225,119.21726819933
2020-08-19,0.8217889,2.1637385745665,0.6797817,4.2803253163143,4.177,119.10247299922
2020-08-20,0.8207894,2.1522780948283,0.6719625,4.2347899406089,4.088,118.83952331009
2020-08-21,0.841579,2.1499859988807,0.6709851,4.27050396077,4.091,118.86110873233
2020-08-22,,,,,,
2020-08-23,,,,,,
2020-08-24,0.8777609,2.1530421268109,0.6753834,4.2972894758909,4.056,118.83756099897
